question,trait
I often try new activities just for excitement.,Novelty Seeking
I get bored quickly when things stay the same.,Novelty Seeking
I like to make impulsive decisions sometimes.,Novelty Seeking
I often worry about making mistakes.,Harm Avoidance
I avoid taking risks even when the chance of success is good.,Harm Avoidance
I tend to expect the worst to happen.,Harm Avoidance
I feel happiest when I’m around people who appreciate me.,Reward Dependence
I am sensitive to what others think about me.,Reward Dependence
I try to help or please people to keep good relationships.,Reward Dependence
I keep working on a problem even when it’s very difficult.,Persistence
I can stay focused on a long task until it’s done.,Persistence
I rarely give up easily.,Persistence
I usually take responsibility for my actions.,Self-Directedness
I have clear goals and work steadily toward them.,Self-Directedness
I can stay calm and think clearly in stressful times.,Self-Directedness
I enjoy helping others even when I get nothing in return.,Cooperativeness
I can forgive people easily.,Cooperativeness
I like working in a team rather than competing.,Cooperativeness
I often feel a deep connection with nature or the universe.,Self-Transcendence
I believe everything happens for a reason.,Self-Transcendence
I sometimes lose myself in creative or spiritual experiences.,Self-Transcendence
